"host_id","host_listings_count","price","avg_price_host"
3013025,1,89,89
358089614,2,45,45
39162543,3,107,270.666666666667
394869975,5,340,446.666666666667
351763192,1,54,54
44305915,3,280,205.333333333333
2868,1,60,60
16899543,3,180,99.6666666666667
489756011,31,150,194.8
454700211,1,150,150
736652,1,495,495
745069,2,75,75
11599731,1,325,325
2229467,1,149,149
138770550,8,36,51.625
128579948,4,900,438.75
120223,1,100,100
6702683,1,399,399
45774302,2,79,89
13347167,31,116,118.129032258065
547422647,14,602,744.357142857143
492849680,1,203,203
136812643,1,80,80
35539450,2,231,231.5
4941291,1,400,400
206195782,1,225,225
41426347,1,348,348
540041298,5,45,46.4
534575586,1,225,225
165776960,8,175,135
164316200,2,64,64
256632041,1,180,180
1863597,1,137,137
10194134,1,60,60
502141479,20,46,42.1666666666667
7250989,1,98,98
20684495,1,200,200
339192135,2,149,152
252999518,1,230,230
483218347,1,300,300
25341839,3,310,316.666666666667
213020,1,119,119
65610,5,120,198.333333333333
4888892,11,72,74.5
255347418,2,236,236
126778356,1,200,200
363171869,1,56,56
4361706,1,208,208
99672488,1,229,229
39448176,3,220,131.666666666667
400013151,1,136,136
582250822,1,600,600
154921518,1,444,444
574255356,1,97,97
86337764,1,165,165
339421913,1,65,65
923364,1,160,160
107578852,1,125,125
582983084,3,468,468
13717740,1,75,75
349931116,2,60,60
455426196,4,59,54.5
146675319,3,200,212.5
347884942,1,80,80
471345215,9,43,50.7777777777778
556730397,20,250,250
50997424,11,245,367.25
342336507,1,250,250
172579417,1,80,80
115082911,3,66,106
24802960,1,75,75
348961337,1,150,150
348891433,1,49,49
268816419,3,71,71
5422083,1,600,600
6543650,1,105,105
394289605,1,250,250
296647504,1,529,529
535634601,1,80,80
526803672,1,150,150
24373940,1,100,100
490655909,1,120,120
399986109,1,140,140
498559328,3,65,65
432000371,4,100,100
66352142,2,282,282
391967495,1,224,224
399865453,34,146,225.617647058824
482505101,6,124,212.5
6632440,2,65,80
3876092,2,100,100
11481,6,187,205.5
330886039,1,60,60
43203249,1,75,75
23861205,1,150,150
15413905,1,50,50
572649285,13,48,67
372788555,1,329,329
465459400,1,104,104
535538968,2,52,48.5
235971419,1,70,70
579204496,2,33,33
216807490,1,50,50
206919043,1,124,124
36881439,2,95,95
417861627,2,65,142
38706510,2,74,74
616825,3,137,318
71741921,1,115,115
521229384,10,99,90.75
89821627,1,150,150
15410169,1,85,85
415255533,1,175,175
347489040,1,162,162
274452385,3,82,118.666666666667
224206042,2,59,59
443906271,1,45,45
2695722,1,54,54
99346083,2,125,125
214922940,1,70,70
524257147,1,144,144
58687873,2,500,700
91156145,1,700,700
417806601,8,66,63.75
508069393,1,280,280
284126288,7,70,62.5
243288727,13,190,237.615384615385
122363368,1,66,66
127836236,1,70,70
88326292,4,73,78
335040889,2,40,195
95344065,6,45,56.5
451251460,1,72,72
159027993,1,48,48
9054033,1,84,84
184874464,5,53,50.2
244116720,4,100,90
230705060,6,105,249.75
30080463,2,160,185
183178516,8,338,286.75
110858930,2,185,185
439066367,6,90,150
24765924,3,50,75
551130565,11,191,145
563247594,15,57,76.5333333333333
277982559,1,98,98
179026754,4,159,281.75
488767748,1,71,71
8977237,1,75,75
410066428,4,120,157.5
349262538,6,223,161.666666666667
275839005,1,140,140
567823530,1,97,97
57283593,17,180,180
465479887,1,79,79
234331642,1,72,72
457828432,15,37,38.1333333333333
181108819,1,69,69
293483235,1,120,120
358711239,3,100,108.333333333333
393474623,1,200,200
3869,1,155,155
59117179,1,140,140
40523974,21,165,176.833333333333
491834352,1,600,600
240298366,13,110,187
18875522,2,250,323
325958751,24,511,511
34343792,1,165,165
577734657,4,449,402.333333333333
443775399,1,175,175
173987923,2,375,375
584022815,4,447,447.75
548620481,1,65,65
19408645,10,1029,1431.9
220305458,3,45,50
25064168,1,500,500
64579750,1,155,155
19876158,1,152,152
420297717,5,113,94
351830322,1,117,117
251398972,3,80,88
209887985,4,71,84
10457092,4,68,122
80917634,1,37,37
507975359,1,90,90
466634879,2,263,265.5
419687159,1,70,70
289020147,3,40,44.6666666666667
1507213,1,92,92
29241227,1,55,55
144520254,1,104,104
115827173,4,140,140
488801886,1,85,85
90334134,1,54,54
528859105,1,70,70
380818034,1,90,90
315758129,4,69,144.25
507144882,2,99,99
1276028,3,55,62.5
271029539,1,72,72
181376,2,110,102.5
44468062,1,14,14
37821056,10,51,46.6666666666667
7748180,2,84,204.5
14214034,2,90,107.5
47595754,1,75,75
171543177,2,49,68
440220965,2,480,305.5
10533381,3,175,171.666666666667
507121190,3,181,161
110176129,1,100,100
36561699,1,98,98
284286042,2,62,56
106550420,1,166,166
91122315,4,190,194.333333333333
5853457,7,48,63.2857142857143
555562763,3,240,186.333333333333
47050813,2,82,76
544554359,4,351,292.75
160097529,3,111,106
209987060,1,752,752
566688414,2,206,216
3427262,1,179,179
83143535,12,75,75.5833333333333
733370,1,69,69
75566701,1,800,800
3621183,3,95,95
296720161,1,125,125
107953084,2,49,50
371008926,10,83,85.5
69469129,4,145,135
43669213,1,150,150
135031316,1,89,89
405703661,2,203,254
550860942,1,170,170
6950389,2,129,129
291556472,3,250,250
13192406,3,141,151.666666666667
30532557,21,45,43.2142857142857
219347424,3,120,109
539750703,2,250,169.5
21008600,1,108,108
54690362,1,85,85
253437339,1,203,203
406984733,1,295,295
33859482,3,150,150
414406854,1,50,50
45130383,1,650,650
506477683,1,183,183
328865524,1,160,160
3818314,11,206,185.333333333333
2035021,2,209,174.5
562153229,1,104,104
117598640,1,65,65
36672800,1,104,104
451677867,1,130,130
278790486,1,264,264
